WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2011 9:00,9.7,109,20,0.1,1008.5,1011.9,1012.1,0,39.7,10,787,27.2,29.5,28.4,26.4,17,24.3
1/01/2011 9:10,9.7,102,16,0.2,1008.3,1011.7,1011.9,0,39.3,13,816,27.2,29.4,28.4,26.4,18,24.44
1/01/2011 9:20,9.9,100,15,0.1,1008.2,1011.6,1011.8,0,38.4,10,843,27.3,29.4,28.4,26.4,18,25.15
1/01/2011 9:30,10.1,96,17,0.2,1008.2,1011.6,1011.8,0,36.5,11,885,27.4,29.3,28.4,26.4,16,26.17
1/01/2011 9:40,9.8,95,15,0.1,1008.1,1011.5,1011.7,0,35.9,12,908,27.5,29.3,28.4,26.4,18,26.18
17/06/2011 6:20,8.1,26,0,0,1022.1,1025.8,1025.7,0,98.2,0,23,11.7,14,16,17.8,0,8.38
17/06/2011 6:30,8.1,15,12,0,1022.2,1025.9,1025.8,0,98.2,0,16,11.7,14,16.1,17.9,0,8.43
17/06/2011 6:40,8.3,3,0,0,1022.4,1026,1026,0,98.3,0,25,11.6,13.9,16,17.9,0,8.6
17/06/2011 6:50,8.5,3,0,0,1022.4,1026,1026,0,98.3,1,21,11.7,13.9,16,17.8,3,8.78
17/06/2011 7:00,8.8,18,14,-0.1,1022.3,1025.9,1025.9,0,98.3,2,17,11.7,13.9,16,17.9,5,9.15
1/01/2012 8:20,15.8,119,20,0,1007.5,1010.9,1011.1,0,67.3,7,345,26.4,28,27.7,26.2,10,22.22
1/01/2012 8:30,15.5,121,20,0.1,1007.5,1010.9,1011.1,0,65.1,7,380,26.4,28,27.7,26.2,11,22.42
1/01/2012 8:40,15.4,115,23,0.1,1007.6,1011,1011.2,0,63.2,6,337,26.5,27.9,27.7,26.2,11,22.84
1/01/2012 8:50,15.3,131,23,0,1007.5,1010.9,1011.1,0,62.7,6,512,26.5,27.9,27.7,26.2,8,22.82
1/01/2012 9:00,15.8,136,41,0.1,1007.4,1010.8,1011,0,62.4,4,596,26.6,27.9,27.7,26.2,9,23.41
